mir,gene
hsa-miR-223-3p,AML1
hsa-miR-21-5p,AP-1
hsa-miR-155-5p,BCR
hsa-miR-24-1,BMP2
hsa-miR-31-5p,BMP2
hsa-miR-21-5p,BMP6
hsa-miR-146a-5p,BRCA1
hsa-miR-146b,BRCA1
hsa-miR-1,CEBPA
hsa-miR-17-5p,CCND1
hsa-miR-20a-5p,CCND1
hsa-miR-15a-5p,c-myb
hsa-miR-132-3p,CREB1
hsa-miR-106a-5p,E2F1
hsa-miR-106b-5p,E2F1
hsa-miR-17-5p,E2F1
hsa-miR-18b-5p,E2F1
hsa-miR-19b-2,E2F1
hsa-miR-20b-5p,E2F1
hsa-miR-25-3p,E2F1
hsa-miR-363-3p,E2F1
hsa-miR-92a-2,E2F1
hsa-miR-93-5p,E2F1
hsa-miR-17-5p,E2F1
hsa-miR-18a-5p,E2F1
hsa-miR-19a-3p,E2F1
hsa-miR-19b-3p,E2F1
hsa-miR-20a-5p,E2F1
hsa-miR-92a-3p,E2F1
hsa-miR-106a-5p,EGR1
hsa-let-7a-5p,EIF2C2
hsa-let-7b-5p,EIF2C2
hsa-let-7c-5p,EIF2C2
hsa-let-7d-5p,EIF2C2
hsa-let-7e-5p,EIF2C2
hsa-let-7f-5p,EIF2C2
hsa-let-7g-5p,EIF2C2
hsa-let-7i-5p,EIF2C2
hsa-miR-21-5p,ERS1
hsa-miR-155-5p,FOXP3
hsa-let-7a-5p,FSH
hsa-miR-143-3p,FSH
hsa-miR-15b-5p,FSH
hsa-miR-144-3p,GATA1
hsa-miR-451a,GATA1
hsa-miR-210-3p,HIF1A
hsa-miR-101-2,HMGA1
hsa-miR-196a-2,HMGA1
hsa-miR-29a-3p,HMGA1
hsa-miR-331,HMGA1
hsa-miR-194-5p,HNF1A
hsa-miR-194-5p,HNF1A
hsa-miR-7-5p,HoxD10
hsa-miR-9-5p,IL1B
hsa-miR-146a-5p,IL1B
hsa-miR-142,LMO2
hsa-miR-9-1,LPS
hsa-miR-184,MECP2
hsa-miR-1,MRF4
hsa-miR-133a-3p,MRF4
hsa-miR-206,MRF4
hsa-miR-1,MYF5
hsa-miR-206,MYF5
hsa-miR-106a-5p,MYC
hsa-miR-17-5p,MYC
hsa-miR-18a-5p,MYC
hsa-miR-19a-3p,MYC
hsa-miR-19b-3p,MYC
hsa-miR-20a-5p,MYC
hsa-miR-221-3p,MYC
hsa-miR-92a-3p,MYC
hsa-miR-195-5p,MYC
hsa-miR-22-3p,MYC
hsa-miR-29a-3p,MYC
hsa-miR-29c-3p,MYC
hsa-miR-26a-5p,MYC
hsa-let-7a-5p,MYC
hsa-let-7b-5p,MYC
hsa-let-7c-5p,MYC
hsa-let-7d-5p,MYC
hsa-let-7e-5p,MYC
hsa-let-7f-5p,MYC
hsa-let-7g-5p,MYC
hsa-let-7i-5p,MYC
hsa-miR-15a-5p,MYC
