mir,gene, 
hsa-miR-223,AML1,
hsa-miR-21,AP-1,
hsa-miR-155,BCR,
hsa-miR-24-1,BMP2,
hsa-miR-31,BMP2,
hsa-miR-21,BMP6,
hsa-miR-146a,BRCA1,
hsa-miR-146b,BRCA1,
hsa-miR-1,CEBPA,
hsa-miR-17,CCND1,
hsa-miR-20a,CCND1,
hsa-miR-15a,c-myb,
hsa-miR-132,CREB1,
hsa-miR-106a,E2F1,
hsa-miR-106b,E2F1,
hsa-miR-17,E2F1,
hsa-miR-18b,E2F1,
hsa-miR-19b-2,E2F1,
hsa-miR-20b,E2F1,
hsa-miR-25,E2F1,
hsa-miR-363,E2F1,
hsa-miR-92a-2,E2F1,
hsa-miR-93,E2F1,
hsa-miR-17,E2F1,
hsa-miR-18a,E2F1,
hsa-miR-19a,E2F1,
hsa-miR-19b,E2F1,
hsa-miR-20a,E2F1,
hsa-miR-92a,E2F1,
hsa-miR-106a,EGR1,
hsa-let-7a,EIF2C2,
hsa-let-7b,EIF2C2,
hsa-let-7c,EIF2C2,
hsa-let-7d,EIF2C2,
hsa-let-7e,EIF2C2,
hsa-let-7f,EIF2C2,
hsa-let-7g,EIF2C2,
hsa-let-7i,EIF2C2,
hsa-miR-21,ERS1,
hsa-miR-155,FOXP3,
hsa-let-7a,FSH,
hsa-miR-143,FSH,
hsa-miR-15b,FSH,
hsa-miR-144,GATA1,
hsa-miR-451,GATA1,
hsa-miR-210,HIF1A,
hsa-miR-101-2,HMGA1,
hsa-miR-196a-2,HMGA1,
hsa-miR-29a,HMGA1,
hsa-miR-331,HMGA1,
hsa-miR-194,HNF1A,
hsa-miR-194,HNF1A,
hsa-miR-7,HoxD10,
hsa-miR-9,IL1B,
hsa-miR-146a,IL1B,
hsa-miR-142,LMO2,
hsa-miR-9-1,LPS,
hsa-miR-184,MECP2,
hsa-miR-1,MRF4,
hsa-miR-133a,MRF4,
hsa-miR-206,MRF4,
hsa-miR-1,MYF5,
hsa-miR-206,MYF5,
hsa-miR-106a,MYC,
hsa-miR-17,MYC,
hsa-miR-18a,MYC,
hsa-miR-19a,MYC,
hsa-miR-19b,MYC,
hsa-miR-20a,MYC,
hsa-miR-221,MYC,
hsa-miR-92a,MYC,
hsa-miR-195,MYC,
hsa-miR-22,MYC,
hsa-miR-29a,MYC,
hsa-miR-29c,MYC,
hsa-miR-26a,MYC,
hsa-let-7a,MYC,
hsa-let-7b,MYC,
hsa-let-7c,MYC,
hsa-let-7d,MYC,
hsa-let-7e,MYC,
hsa-let-7f,MYC,
hsa-let-7g,MYC,
hsa-let-7i,MYC,
hsa-miR-15a,MYC,
hsa-miR-16-1,MYC,
hsa-miR-34a,MYC,
hsa-miR-23a,MYC,
hsa-miR-23b,MYC,
hsa-miR-106a,MYCN,
hsa-miR-17,MYCN,
hsa-miR-18a,MYCN,
hsa-miR-19a,MYCN,
hsa-miR-19b,MYCN,
hsa-miR-20a,MYCN,
hsa-miR-221,MYCN,
hsa-miR-92a,MYCN,
hsa-miR-133a,MYF5,
hsa-miR-1,MyoD,
hsa-miR-133a,MyoD,
hsa-miR-206,MyoD,
hsa-miR-1,Myogenin,
hsa-miR-133a,Myogenin,
hsa-miR-206,Myogenin,
hsa-miR-21,NFIB,
hsa-miR-125b,NFKB1,
hsa-miR-155,NFKB1,
hsa-miR-29a,NFKB1,
hsa-miR-29b,NFKB1,
hsa-miR-29c,NFKB1,
hsa-miR-146a,NFKB1,
hsa-miR-9,NFKB1,
hsa-miR-17,NKX2-5,
hsa-miR-18a,NKX2-5,
hsa-miR-19a,NKX2-5,
hsa-miR-19b,NKX2-5,
hsa-miR-20a,NKX2-5,
hsa-miR-92a,NKX2-5,
hsa-miR-127,NR3B3,
hsa-miR-433,NR3B3,
hsa-miR-221,PDGF,
hsa-miR-146a,PLZF,
hsa-miR-302a,POU5F1,
hsa-miR-302b,POU5F1,
hsa-miR-302c,POU5F1,
hsa-miR-302d,POU5F1,
hsa-miR-367,POU5F1,
hsa-miR-302a,POU5F1,
hsa-miR-302b,POU5F1,
hsa-miR-302c,POU5F1,
hsa-miR-302d,POU5F1,
hsa-miR-367,POU5F1,
hsa-miR-15a,PRKCA,
hsa-miR-19a,PTEN,
hsa-miR-21,PTEN,
hsa-miR-21,REST,
hsa-miR-302a,Rex1,
hsa-miR-302b,Rex1,
hsa-miR-302c,Rex1,
hsa-miR-302d,Rex1,
hsa-miR-367,Rex1,
hsa-miR-27a,RUNX1,
hsa-miR-127,SHP,
hsa-miR-433,SHP,
hsa-miR-141,SIP1,
hsa-miR-200a,SIP1,
hsa-miR-200b,SIP1,
hsa-miR-200c,SIP1,
hsa-miR-429,SIP1,
hsa-miR-155,SMAD4,
hsa-miR-302a,SOX2,
hsa-miR-302b,SOX2,
hsa-miR-302c,SOX2,
hsa-miR-302d,SOX2,
hsa-miR-367,SOX2,
hsa-miR-106a,SP1,
hsa-miR-24,TGFB1,
hsa-miR-23a,TGFB1,
hsa-miR-24,TGFB1,
hsa-miR-27a,TGFB1,
hsa-miR-141,TGFB1,
hsa-miR-200a,TGFB1,
hsa-miR-200b,TGFB1,
hsa-miR-200c,TGFB1,
hsa-miR-205,TGFB1,
hsa-miR-429,TGFB1,
hsa-miR-155,TGFB1,
hsa-miR-222,Thrombin,
hsa-miR-9,TLR2,
hsa-miR-9,TLR4,
hsa-miR-9,TLR7,
hsa-miR-9,TLR8,
hsa-miR-9,TLX,
hsa-miR-17,TLX1,
hsa-miR-18a,TLX1,
hsa-miR-19a,TLX1,
hsa-miR-19b,TLX1,
hsa-miR-20a,TLX1,
hsa-miR-92a,TLX1,
hsa-miR-17,TLX3,
hsa-miR-18a,TLX3,
hsa-miR-19a,TLX3,
hsa-miR-19b,TLX3,
hsa-miR-20a,TLX3,
hsa-miR-92a,TLX3,
hsa-miR-9,TNF,
hsa-miR-34b,TP53,
hsa-miR-34c,TP53,
hsa-miR-34a,TP53,
hsa-miR-192,TP53,
hsa-miR-215,TP53,
hsa-miR-145,TP53,
hsa-let-7a,TRIM32,
hsa-let-7b,TRIM32,
hsa-let-7c,TRIM32,
hsa-let-7d,TRIM32,
hsa-let-7e,TRIM32,
hsa-let-7f,TRIM32,
hsa-let-7g,TRIM32,
hsa-let-7i,TRIM32,
hsa-miR-199a-2,TWIST1,
hsa-miR-214,TWIST1,
hsa-miR-210,VHL,
hsa-miR-29a,YY1,
hsa-miR-29b,YY1,
hsa-miR-29c,YY1,
hsa-miR-141,ZEB1,
hsa-miR-200a,ZEB1,
hsa-miR-200b,ZEB1,
hsa-miR-200c,ZEB1,
hsa-miR-429,ZEB1,
hsa-miR-141,ZEB2,
hsa-miR-200a,ZEB2,
hsa-miR-200b,ZEB2,
hsa-miR-200c,ZEB2,
hsa-miR-429,ZEB2,
hsa-let-7g,LIN28B,
hsa-miR-21,STAT3,
hsa-miR-195,EGR3,
hsa-let-7a,E2F1,
hsa-let-7i,E2F1,
hsa-miR-15b,E2F1,
