"miRNA","Gene"
"hsa-let-7","HMGA2"
"hsa-let-7","NRAS"
"hsa-let-7","KRAS"
"hsa-let-7","IGF1R"
"hsa-let-7","SOCS4"
"hsa-let-7a-1","c-MYC"
"hsa-let-7a-1","CSN6"
"hsa-let-7a-1","CSN8"
"hsa-let-7a-1","CSN1"
"hsa-let-7a-1","STAT-1"
"hsa-let-7a-5p","TRIM71"
"hsa-let-7a-5p","NF2"
"hsa-let-7a-5p","p27"
"hsa-let-7a-5p","WAF1"
"hsa-let-7a-5p","caspase-3"
"hsa-let-7a-5p","NIRF"
"hsa-let-7b-5p","THBS1"
"hsa-let-7b-5p","TYMS"
"hsa-let-7b-5p","ANAPC1"
"hsa-let-7b-5p","RHOG"
"hsa-let-7b-5p","F2"
"hsa-let-7b-5p","MTRR"
"hsa-let-7b-5p","COMMD9"
"hsa-let-7b-5p","SPCS3"
"hsa-let-7b-5p","ATP6V1F"
"hsa-let-7b-5p","POLR2C"
"hsa-let-7b-5p","DUSP12"
"hsa-let-7b-5p","HMGA1"
"hsa-let-7b-5p","PRIM1"
"hsa-let-7b-5p","TAF9B"
"hsa-let-7b-5p","SLC1A4"
"hsa-let-7b-5p","UHRF1"
"hsa-let-7b-5p","IPO4"
"hsa-let-7b-5p","IFIT5"
"hsa-let-7b-5p","MRPS24"
"hsa-let-7b-5p","DOCK5"
"hsa-let-7b-5p","LIN28"
"hsa-let-7b-5p","GTPBP3"
"hsa-let-7b-5p","CAPG"
"hsa-let-7b-5p","VPS39"
"hsa-let-7b-5p","SLC25A1"
"hsa-let-7b-5p","DSP"
"hsa-let-7b-5p","CALCOCO2"
"hsa-let-7b-5p","FAM96A"
"hsa-let-7b-5p","CSNK1D"
"hsa-let-7b-5p","CDIPT"
"hsa-let-7b-5p","SLC25A32"
"hsa-let-7b-5p","AARSD1"
"hsa-let-7b-5p","SNAP23"
"hsa-let-7b-5p","PXDN"
"hsa-let-7b-5p","TRMT1"
"hsa-let-7b-5p","POLD2"
"hsa-let-7b-5p","CDKAL1"
"hsa-let-7b-5p","CCNA1"
"hsa-let-7b-5p","POM121B"
"hsa-let-7b-5p","FADS2"
"hsa-let-7b-5p","MARS2"
"hsa-let-7b-5p","SCYL1"
