mir,gene
hsa-miR-200a-3p,EPCAM
hsa-miR-200a-3p,CXCL16
hsa-miR-200a-3p,CDH3
hsa-miR-200a-3p,LCP1
hsa-miR-200a-3p,ELOVL7
hsa-miR-200a-3p,FAM172B
hsa-miR-200a-3p,FLI1
hsa-miR-200a-3p,MRGPRX4
hsa-miR-200a-3p,ESRP1
hsa-miR-200a-3p,EDN1
hsa-miR-200a-3p,TMEM30B
hsa-miR-200a-3p,C1orf116
hsa-miR-200a-3p,MYO1D
hsa-miR-200a-3p,SPOPL
hsa-miR-200a-3p,TMEM2
hsa-miR-200a-3p,SCEL
hsa-miR-200a-3p,DEFB103A
hsa-miR-200a-3p,DEFB103A
hsa-miR-200a-3p,SPNS2
hsa-miR-200a-3p,CTGF
hsa-miR-200a-3p,DAPP1
hsa-miR-200a-3p,KCTD20
hsa-miR-200a-3p,MPZL2
hsa-miR-200a-3p,CLDN1
hsa-miR-200a-3p,MGAT4A
hsa-miR-200a-3p,PTAFR
hsa-miR-200a-3p,PDE7B
hsa-miR-200a-3p,CHAC1
hsa-miR-200a-3p,P2RY2
hsa-miR-200a-3p,G0S2
hsa-miR-200a-3p,GJB3
hsa-miR-200a-3p,TNFAIP3
hsa-miR-200a-3p,FAM83B
hsa-miR-200a-3p,CYBRD1
hsa-miR-200a-3p,ERLIN1
hsa-miR-200a-3p,ST14
hsa-miR-200a-3p,SNRPC
hsa-miR-200a-3p,STK40
hsa-miR-200a-3p,BSPRY
hsa-miR-200a-3p,SAMD9L
hsa-miR-200a-3p,FAM83H
hsa-miR-200a-3p,MCOLN3
hsa-miR-200a-3p,RNF39
hsa-miR-200a-3p,RNF39
hsa-miR-200a-3p,B3GNT3
hsa-miR-200a-3p,LBR
hsa-miR-200a-3p,EPCAM
hsa-miR-200a-3p,PDIA5
hsa-miR-200a-3p,GXYLT2
hsa-miR-200a-3p,IRF6
hsa-miR-200a-3p,PKP3
hsa-miR-200a-3p,GALNT3
hsa-miR-200a-3p,CXCR4
hsa-miR-200a-3p,TFPI2
hsa-miR-200a-3p,DPY19L1
hsa-miR-200a-3p,WASF3
hsa-miR-200a-3p,KLHL11
hsa-miR-200a-3p,SH2D3A
hsa-miR-200a-3p,PKIA
hsa-miR-200a-3p,CDS1
hsa-miR-200a-3p,RARB
hsa-miR-200a-3p,EFCAB4B
hsa-miR-200a-3p,MAP3K3
hsa-miR-200a-3p,PSG3
hsa-miR-200a-3p,ZBED2
hsa-miR-200a-3p,ZNF860
hsa-miR-200a-3p,TMC7
hsa-miR-200a-3p,KIAA0494
hsa-miR-200a-3p,IL23A
hsa-miR-200a-3p,C8orf73
hsa-miR-200a-3p,PSG4
hsa-miR-200a-3p,ATP6V0A4
hsa-miR-200a-3p,SGTB
hsa-miR-200a-3p,HIST2H2BE
hsa-miR-200a-3p,RAP1B
hsa-miR-200a-3p,ESRP2
hsa-miR-200a-3p,ZBTB9
hsa-miR-200a-3p,SERPINB5
hsa-miR-200a-3p,ATL3
hsa-miR-200a-3p,PRSS16
hsa-miR-200a-3p,MYH10
hsa-miR-200a-3p,SLC25A13
hsa-miR-200a-3p,CKMT1A
hsa-miR-200a-3p,CKMT1A
hsa-miR-200a-3p,CST6
hsa-miR-200a-3p,FGD4
hsa-miR-200a-3p,DTX3L
hsa-miR-200a-3p,TAF11
hsa-miR-200a-3p,FAM46C
hsa-miR-200a-3p,RAP1B
hsa-miR-200a-3p,NCF2
hsa-miR-200a-3p,PHLPP2
hsa-miR-200a-3p,ARMCX1
hsa-miR-200a-3p,PPT2
hsa-miR-200a-3p,PPT2
hsa-miR-200a-3p,ELL3
hsa-miR-200a-3p,SEL1L3
hsa-miR-200a-3p,ANXA8L1
hsa-miR-200a-3p,LAMB3
hsa-miR-200a-3p,ANP32E
hsa-miR-200a-3p,SP4
hsa-miR-200a-3p,ODZ1
hsa-miR-200a-3p,SYPL1
hsa-miR-200a-3p,HSH2D
hsa-miR-200a-3p,SYNJ2BP
hsa-miR-200a-3p,CDC42SE2
hsa-miR-200a-3p,ZNF114
hsa-miR-200a-3p,FGFR1OP
hsa-miR-200a-3p,ZCCHC24
hsa-miR-200a-3p,AIDA
hsa-miR-200a-3p,HIST1H2AJ
hsa-miR-200a-3p,SNRPB2
hsa-miR-200a-3p,UMPS
hsa-miR-200a-3p,DUS2L
hsa-miR-200a-3p,HOOK1
hsa-miR-200a-3p,FSTL1
hsa-miR-200a-3p,YPEL2
hsa-miR-200a-3p,PTBP2
hsa-miR-200a-3p,APOBEC3B
hsa-miR-200a-3p,EXOC2
hsa-miR-200a-3p,KIAA1161
hsa-miR-200a-3p,DDAH1
hsa-miR-200a-3p,C12orf49
hsa-miR-200a-3p,HIST1H4H
hsa-miR-200a-3p,HOXD1
hsa-miR-200a-3p,C2orf15
hsa-miR-200a-3p,SLC44A4
hsa-miR-200a-3p,SLC44A4
hsa-miR-200a-3p,SLC44A4
hsa-miR-200a-3p,FAM25B
hsa-miR-200a-3p,FAM25B
hsa-miR-200a-3p,FAM25B
hsa-miR-200a-3p,ENPP5
hsa-miR-200a-3p,GSDMC
hsa-miR-200a-3p,TGFB2
hsa-miR-200a-3p,ANKRD13A
hsa-miR-200a-3p,TRIB3
hsa-miR-200a-3p,SLC39A14
hsa-miR-200a-3p,MPZL3
hsa-miR-200a-3p,ANXA8
hsa-miR-200a-3p,C6orf150
hsa-miR-200a-3p,FAM84B
hsa-miR-200a-3p,ARHGEF5
hsa-miR-200a-3p,SRM
hsa-miR-200a-3p,NRP1
hsa-miR-200a-3p,RAB18
hsa-miR-200a-3p,MRPL19
hsa-miR-200a-3p,DGKA
hsa-miR-200a-3p,XRCC4
hsa-miR-200a-3p,NUP43
hsa-miR-200a-3p,LOC728024
hsa-miR-200a-3p,TMEM209
hsa-miR-200a-3p,HIST1H2BD
hsa-miR-200a-3p,TNFSF15
hsa-miR-200a-3p,MYSM1
hsa-miR-200a-3p,NFYA
hsa-miR-200a-3p,PITPNC1
hsa-miR-200a-3p,CDH4
hsa-miR-200a-3p,IVNS1ABP
hsa-miR-200a-3p,KCNN3
hsa-miR-200a-3p,PSG8
hsa-miR-200a-3p,CCNA1
hsa-miR-200a-3p,LSR
hsa-miR-200a-3p,AP1S3
hsa-miR-200a-3p,MED21
hsa-miR-200a-3p,SLAMF7
hsa-miR-200a-3p,RNF166
hsa-miR-200a-3p,RCSD1
hsa-miR-200a-3p,PJA1
hsa-miR-200a-3p,RC3H2
hsa-miR-200a-3p,CAV2
hsa-miR-200a-3p,C19orf21
hsa-miR-200a-3p,STBD1
hsa-miR-200a-3p,MBTPS2
hsa-miR-200a-3p,RAB11FIP1
hsa-miR-200a-3p,GRB7
hsa-miR-200a-3p,TRIM23
hsa-miR-200a-3p,RHOD
hsa-miR-200a-3p,SLC31A1
hsa-miR-200a-3p,LTB
hsa-miR-200a-3p,LTB
hsa-miR-200a-3p,LTB
hsa-miR-200a-3p,DEFB4A
hsa-miR-200a-3p,DEFB4A
hsa-miR-200a-3p,RNF125
hsa-miR-200a-3p,DNAJC16
hsa-miR-200a-3p,MST1R
hsa-miR-200a-3p,C9orf72
hsa-miR-200a-3p,MREG
hsa-miR-200a-3p,C9orf46
hsa-miR-200a-3p,ABHD13
hsa-miR-200a-3p,OCIAD2
hsa-miR-200a-3p,IL1R1
hsa-miR-200a-3p,STAT3
hsa-miR-200a-3p,ANXA8L2
hsa-miR-200a-3p,FAT4
hsa-miR-200a-3p,RDX
hsa-miR-200a-3p,PDE2A
hsa-miR-200a-3p,OLFML3
hsa-miR-200a-3p,UST
hsa-miR-200a-3p,NR3C2
hsa-miR-200a-3p,PRLR
hsa-miR-200a-3p,ICMT
hsa-miR-200a-3p,PRSS1
hsa-miR-200a-3p,TJP1
hsa-miR-200a-3p,RHPN2
hsa-miR-200a-3p,PER3
hsa-miR-200a-3p,KLRK1
hsa-miR-200a-3p,VAV1
hsa-miR-200a-3p,C21orf34
hsa-miR-200a-3p,SAMD8
hsa-miR-200a-3p,AKTIP
hsa-miR-200a-3p,AP1AR
hsa-miR-200a-3p,MGC57346
hsa-miR-200a-3p,C6orf141
hsa-miR-200a-3p,PKIB
hsa-miR-200a-3p,NRBF2
hsa-miR-200a-3p,ZBTB34
hsa-miR-200a-3p,ADAM17
hsa-miR-200a-3p,TMEM159
hsa-miR-200a-3p,COMMD10
hsa-miR-200a-3p,LAMC2
hsa-miR-200a-3p,HHIP
hsa-miR-200a-3p,PDE5A
hsa-miR-200a-3p,GPN1
hsa-miR-200a-3p,PMM2
hsa-miR-200a-3p,BUB1B
hsa-miR-200a-3p,FGF5
hsa-miR-200a-3p,RPL29
hsa-miR-200a-3p,ADAM19
hsa-miR-200a-3p,EXPH5
hsa-miR-200a-3p,EIF2A
hsa-miR-200a-3p,TPBG
hsa-miR-200a-3p,GPR87
hsa-miR-200a-3p,SLC35D2
hsa-miR-200a-3p,PDPK1
hsa-miR-200a-3p,CNKSR1
hsa-miR-200a-3p,SLC46A3
hsa-miR-200a-3p,FAM188B
hsa-miR-200a-3p,PDPK1
hsa-miR-200a-3p,SGOL1
hsa-miR-200a-3p,EIF2B2
hsa-miR-200a-3p,CHMP4C
hsa-miR-200a-3p,CRB3
hsa-miR-200a-3p,LOC100128816
hsa-miR-200a-3p,C7orf42
hsa-miR-200a-3p,CBX1
hsa-miR-200a-3p,ARHGEF5
hsa-miR-200a-3p,LLPH
hsa-miR-200a-3p,LZIC
hsa-miR-200a-3p,BTG3
hsa-miR-200a-3p,IPO5
hsa-miR-200a-3p,ECE1
hsa-miR-200a-3p,ITGB6
hsa-miR-200a-3p,CBX6
hsa-miR-200a-3p,RNF122
hsa-miR-200a-3p,C20orf20
hsa-miR-200a-3p,TMEM164
hsa-miR-200a-3p,CHD9
hsa-miR-200a-3p,ZMIZ1
hsa-miR-200a-3p,PPT1
hsa-miR-200a-3p,IPPK
hsa-miR-200a-3p,PRTFDC1
hsa-miR-200a-3p,TPD52L1
hsa-miR-200a-3p,C1orf128
hsa-miR-200a-3p,CFH
hsa-miR-200a-3p,SVIL
hsa-miR-200a-3p,ACOT7
hsa-miR-200a-3p,FERMT1
hsa-miR-200a-3p,CCNC
hsa-miR-200a-3p,RTCD1
hsa-miR-200a-3p,SESN2
hsa-miR-200a-3p,CYTH3
hsa-miR-200a-3p,FGFBP1
hsa-miR-200a-3p,PTK2B
hsa-miR-200a-3p,RPH3AL
hsa-miR-200a-3p,CRISPLD2
hsa-miR-200a-3p,TERF2IP
hsa-miR-200a-3p,MAP4K2
hsa-miR-200a-3p,CMKLR1
hsa-miR-200a-3p,SLC23A2
hsa-miR-200a-3p,IL32
hsa-miR-200a-3p,KIDINS220
hsa-miR-200a-3p,FAM160A1
hsa-miR-200a-3p,PDHA1
hsa-miR-200a-3p,MGC14436
hsa-miR-200a-3p,PIM2
hsa-miR-200a-3p,NGFR
hsa-miR-200a-3p,CCDC144A
hsa-miR-200a-3p,GALC
hsa-miR-200a-3p,TAF9B
hsa-miR-200a-3p,TAF9B
hsa-miR-200a-3p,KDSR
hsa-miR-200a-3p,PIP4K2B
hsa-miR-200a-3p,PTCH1
hsa-miR-200a-3p,GSTO1
hsa-miR-200a-3p,TTC27
hsa-miR-200a-3p,PRICKLE2
hsa-miR-200a-3p,RNF14
hsa-miR-200a-3p,SNORA61
hsa-miR-200a-3p,ISCU
hsa-miR-200a-3p,MRS2
hsa-miR-200a-3p,PACS1
hsa-miR-200a-3p,LLPH
hsa-miR-200a-3p,SERINC2
hsa-miR-200a-3p,AIF1L
hsa-miR-200a-3p,TH1L
hsa-miR-200a-3p,SPINK1
hsa-miR-200a-3p,AKAP12
hsa-miR-200a-3p,NPTN
hsa-miR-200a-3p,DNAH2
hsa-miR-200a-3p,FKBP5
hsa-miR-200a-3p,LRRC1
hsa-miR-200a-3p,OR2A20P
hsa-miR-200a-3p,ADAP2
hsa-miR-200a-3p,EDN2
hsa-miR-200a-3p,PLCXD1
hsa-miR-200a-3p,KLHL2
hsa-miR-200a-3p,ATL3
hsa-miR-200a-3p,LONRF1
hsa-miR-200a-3p,STK38L
hsa-miR-200a-3p,UBASH3B
hsa-miR-200a-3p,MAN2A1
hsa-miR-200a-3p,NHEJ1
hsa-miR-200a-3p,ERBB3
hsa-miR-200a-3p,INSC
hsa-miR-200a-3p,LLGL2
hsa-miR-200a-3p,ZNF117
hsa-miR-200a-3p,CHURC1
hsa-miR-200a-3p,MMP1
hsa-miR-200a-3p,RP2
hsa-miR-200a-3p,MOBKL2B
hsa-miR-200a-3p,CPEB2
hsa-miR-200a-3p,ZNF146
hsa-miR-200a-3p,RAB3B
