miRNA,Gene
hsa-miR-200b-3p,ESRP1
hsa-miR-200b-3p,EPCAM
hsa-miR-200b-3p,ELOVL7
hsa-miR-200b-3p,CXCL16
hsa-miR-200b-3p,CDH3
hsa-miR-200b-3p,SPOPL
hsa-miR-200b-3p,BANK1
hsa-miR-200b-3p,PTAFR
hsa-miR-200b-3p,MPZL2
hsa-miR-200b-3p,EXPH5
hsa-miR-200b-3p,EPCAM
hsa-miR-200b-3p,FST
hsa-miR-200b-3p,MCOLN3
hsa-miR-200b-3p,FAM172B
hsa-miR-200b-3p,TMC5
hsa-miR-200b-3p,CDH1
hsa-miR-200b-3p,KLHL11
hsa-miR-200b-3p,SCEL
hsa-miR-200b-3p,PEG10
hsa-miR-200b-3p,CLDN1
hsa-miR-200b-3p,PIM2
hsa-miR-200b-3p,B4GALT6
hsa-miR-200b-3p,SH2D3A
hsa-miR-200b-3p,B3GNT3
hsa-miR-200b-3p,RHPN2
hsa-miR-200b-3p,LBR
hsa-miR-200b-3p,TMEM30B
hsa-miR-200b-3p,GRHL2
hsa-miR-200b-3p,C2orf15
hsa-miR-200b-3p,LHFP
hsa-miR-200b-3p,C19orf21
hsa-miR-200b-3p,ANKRD13A
hsa-miR-200b-3p,DAPP1
hsa-miR-200b-3p,CDS1
hsa-miR-200b-3p,GALNT3
hsa-miR-200b-3p,NRG1
hsa-miR-200b-3p,OLR1
hsa-miR-200b-3p,UMPS
hsa-miR-200b-3p,ST14
hsa-miR-200b-3p,CTGF
hsa-miR-200b-3p,TIMP2
hsa-miR-200b-3p,PIP4K2A
hsa-miR-200b-3p,ENPP5
hsa-miR-200b-3p,ELL3
hsa-miR-200b-3p,SEC23A
hsa-miR-200b-3p,FAM83B
hsa-miR-200b-3p,FGD4
hsa-miR-200b-3p,PTPRR
hsa-miR-200b-3p,MARVELD2
hsa-miR-200b-3p,MARVELD2
hsa-miR-200b-3p,SNRPC
hsa-miR-200b-3p,FERMT2
hsa-miR-200b-3p,CST6
hsa-miR-200b-3p,ATP11C
hsa-miR-200b-3p,BTG3
hsa-miR-200b-3p,ZMIZ1
hsa-miR-200b-3p,SLC35F5
hsa-miR-200b-3p,ERBB3
hsa-miR-200b-3p,HPSE
hsa-miR-200b-3p,C1orf116
hsa-miR-200b-3p,UBASH3B
hsa-miR-200b-3p,IL18
hsa-miR-200b-3p,AP1M2
hsa-miR-200b-3p,CXorf61
hsa-miR-200b-3p,KIAA1949
hsa-miR-200b-3p,RAB11FIP1
hsa-miR-200b-3p,PRRG4
hsa-miR-200b-3p,ZCCHC24
hsa-miR-200b-3p,ZNF165
hsa-miR-200b-3p,C5orf51
hsa-miR-200b-3p,OSTM1
hsa-miR-200b-3p,AOAH
hsa-miR-200b-3p,MMD
hsa-miR-200b-3p,B4GALT4
hsa-miR-200b-3p,STRADB
hsa-miR-200b-3p,FAM122C
hsa-miR-200b-3p,BSPRY
hsa-miR-200b-3p,AP1S3
hsa-miR-200b-3p,HSH2D
hsa-miR-200b-3p,TLCD1
hsa-miR-200b-3p,MST1R
hsa-miR-200b-3p,C9orf72
hsa-miR-200b-3p,TNC
hsa-miR-200b-3p,C1orf135
hsa-miR-200b-3p,IL23A
hsa-miR-200b-3p,LOC147727
hsa-miR-200b-3p,TFPI2
hsa-miR-200b-3p,FAM83H
hsa-miR-200b-3p,OR2A20P
hsa-miR-200b-3p,ZBED2
hsa-miR-200b-3p,PRSS16
hsa-miR-200b-3p,CTH
hsa-miR-200b-3p,PTPN21
hsa-miR-200b-3p,LRRC1
hsa-miR-200b-3p,NRP1
hsa-miR-200b-3p,MAP7
hsa-miR-200b-3p,EFNB2
hsa-miR-200b-3p,ZNF804A
hsa-miR-200b-3p,MFAP2
hsa-miR-200b-3p,FARP1
hsa-miR-200b-3p,LLGL2
hsa-miR-200b-3p,ARHGEF5
hsa-miR-200b-3p,ERLIN1
hsa-miR-200b-3p,RASGRP3
hsa-miR-200b-3p,C6orf150
hsa-miR-200b-3p,ANKRD1
hsa-miR-200b-3p,RAB4A
hsa-miR-200b-3p,EBI3
hsa-miR-200b-3p,VKORC1L1
hsa-miR-200b-3p,ZNF114
hsa-miR-200b-3p,MNS1
hsa-miR-200b-3p,DEFB103A
hsa-miR-200b-3p,DEFB103A
hsa-miR-200b-3p,GRB7
hsa-miR-200b-3p,MGAT4A
hsa-miR-200b-3p,MC3R
hsa-miR-200b-3p,HIPK3
hsa-miR-200b-3p,SVIL
hsa-miR-200b-3p,GNA13
hsa-miR-200b-3p,ARRB2
hsa-miR-200b-3p,DENND5A
hsa-miR-200b-3p,ARHGEF5
hsa-miR-200b-3p,STYX
hsa-miR-200b-3p,USP44
hsa-miR-200b-3p,PHF7
hsa-miR-200b-3p,TSPYL4
hsa-miR-200b-3p,HERC5
hsa-miR-200b-3p,IPPK
hsa-miR-200b-3p,PFKFB2
hsa-miR-200b-3p,ESRP2
hsa-miR-200b-3p,AREG
hsa-miR-200b-3p,SLC30A6
hsa-miR-200b-3p,LRIG1
hsa-miR-200b-3p,ZYG11B
hsa-miR-200b-3p,LLPH
hsa-miR-200b-3p,PS1TP4
hsa-miR-200b-3p,CCDC68
hsa-miR-200b-3p,CDH4
hsa-miR-200b-3p,SLC27A2
hsa-miR-200b-3p,PON3
hsa-miR-200b-3p,STRADB
hsa-miR-200b-3p,OPN3
hsa-miR-200b-3p,CDH2
hsa-miR-200b-3p,PTPN12
hsa-miR-200b-3p,CRB3
hsa-miR-200b-3p,CDC42SE2
hsa-miR-200b-3p,RTCD1
hsa-miR-200b-3p,SLC31A1
hsa-miR-200b-3p,ATP6V0A4
hsa-miR-200b-3p,TNFAIP3
hsa-miR-200b-3p,MACC1
hsa-miR-200b-3p,SLC44A4
hsa-miR-200b-3p,SLC44A4
hsa-miR-200b-3p,SLC44A4
hsa-miR-200b-3p,MFAP3L
hsa-miR-200b-3p,GPRC5B
hsa-miR-200b-3p,FITM2
hsa-miR-200b-3p,MMP14
hsa-miR-200b-3p,ACTR3B
hsa-miR-200b-3p,CDK14
hsa-miR-200b-3p,SMAD2
hsa-miR-200b-3p,ADAMTS15
hsa-miR-200b-3p,STK40
hsa-miR-200b-3p,TMEM164
hsa-miR-200b-3p,PRKACB
hsa-miR-200b-3p,SYPL1
hsa-miR-200b-3p,AP1S2
hsa-miR-200b-3p,OR2A9P
hsa-miR-200b-3p,NPAS2
hsa-miR-200b-3p,MAD2L1
hsa-miR-200b-3p,SPAG1
hsa-miR-200b-3p,MIR181B1
hsa-miR-200b-3p,SLC7A7
hsa-miR-200b-3p,FN1
hsa-miR-200b-3p,MPP7
hsa-miR-200b-3p,KLRK1
hsa-miR-200b-3p,MRPL19
hsa-miR-200b-3p,C20orf194
hsa-miR-200b-3p,RFTN1
hsa-miR-200b-3p,MYO1D
hsa-miR-200b-3p,E2F5
hsa-miR-200b-3p,AGRN
hsa-miR-200b-3p,RECK
hsa-miR-200b-3p,AREG
hsa-miR-200b-3p,NLRP10
hsa-miR-200b-3p,VIPR1
hsa-miR-200b-3p,INADL
hsa-miR-200b-3p,PDGFRL
hsa-miR-200b-3p,ZBTB9
hsa-miR-200b-3p,SGTB
hsa-miR-200b-3p,ARL2BP
hsa-miR-200b-3p,MOSC1
hsa-miR-200b-3p,C6orf35
hsa-miR-200b-3p,NFKBIB
hsa-miR-200b-3p,KLHL2
hsa-miR-200b-3p,C1orf128
hsa-miR-200b-3p,DCBLD2
hsa-miR-200b-3p,AFF3
hsa-miR-200b-3p,AIDA
hsa-miR-200b-3p,PRICKLE2
hsa-miR-200b-3p,LAMP3
hsa-miR-200b-3p,MIR24-2
hsa-miR-200b-3p,XK
hsa-miR-200b-3p,SMARCD1
hsa-miR-200b-3p,GLI3
hsa-miR-200b-3p,FH
hsa-miR-200b-3p,SENP1
hsa-miR-200b-3p,BMF
hsa-miR-200b-3p,PIK3CA
hsa-miR-200b-3p,WNT3
hsa-miR-200b-3p,ZDHHC18
hsa-miR-200b-3p,DTX3L
hsa-miR-200b-3p,MAPK8
hsa-miR-200b-3p,FAM188B
hsa-miR-200b-3p,ISG15
hsa-miR-200b-3p,DDAH1
hsa-miR-200b-3p,VTI1B
hsa-miR-200b-3p,RNF39
hsa-miR-200b-3p,RNF39
hsa-miR-200b-3p,SERPIND1
hsa-miR-200b-3p,C5orf13
hsa-miR-200b-3p,KLHDC1
hsa-miR-200b-3p,CLCN4
hsa-miR-200b-3p,SH3PXD2A
hsa-miR-200b-3p,ARHGAP19
hsa-miR-200b-3p,CRTAP
hsa-miR-200b-3p,CP110
hsa-miR-200b-3p,NUAK2
hsa-miR-200b-3p,ST3GAL2
hsa-miR-200b-3p,SLITRK1
hsa-miR-200b-3p,FHL2
hsa-miR-200b-3p,SLC46A3
hsa-miR-200b-3p,KANK2
hsa-miR-200b-3p,IRF6
hsa-miR-200b-3p,PSMG1
hsa-miR-200b-3p,AP1AR
hsa-miR-200b-3p,RNF14
hsa-miR-200b-3p,ARL13B
hsa-miR-200b-3p,CYBRD1
hsa-miR-200b-3p,NCAPD2
hsa-miR-200b-3p,CALB1
hsa-miR-200b-3p,RHOJ
hsa-miR-200b-3p,CHRDL1
hsa-miR-200b-3p,PDPR
hsa-miR-200b-3p,MFSD2A
hsa-miR-200b-3p,LRRN4
hsa-miR-200b-3p,SNORA61
hsa-miR-200b-3p,NDUFA6
hsa-miR-200b-3p,LOC100128816
hsa-miR-200b-3p,ACBD7
hsa-miR-200b-3p,RDH10
hsa-miR-200b-3p,ZEB1
hsa-miR-200b-3p,DNMBP
hsa-miR-200b-3p,SERPINH1
hsa-miR-200b-3p,C6orf168
hsa-miR-200b-3p,DPY19L1
