miRNA,Gene
hsa-let-7a*,ARMC8
hsa-let-7a*,SETD4
hsa-let-7a*,BTF3
hsa-let-7a*,MIPOL1
hsa-let-7a*,TRIM33
hsa-let-7a*,CS
hsa-let-7a*,SENP7
hsa-let-7a,MPL
hsa-let-7a,CDK6
hsa-let-7a,MYC
hsa-let-7a,BCL2
hsa-let-7a,NKIRAS2
hsa-let-7a,ITGB3
hsa-let-7a,NF2
hsa-let-7a,NRAS
hsa-let-7a,KRAS
hsa-let-7a,PRDM1
hsa-let-7a,TRIM71
hsa-let-7a,FOXA1
hsa-let-7a,NR1I2
hsa-let-7a,VDR
hsa-let-7a,RAVER2
hsa-let-7a,HMGA2
hsa-let-7a,HMGA1
hsa-let-7a,AGO4
hsa-let-7a,APP
hsa-let-7a,E2F1
hsa-let-7a,UHRF2
hsa-let-7a,DICER1
hsa-let-7a,HRAS
hsa-let-7a,IGF2
hsa-let-7a,LIN28A
hsa-let-7a,NFKB1
hsa-let-7a,ZFP36L1
hsa-let-7a,THBS1
hsa-let-7a,TUSC2
hsa-let-7a,SLC20A1
hsa-let-7a,NEFM
hsa-let-7a,MEIS1
hsa-let-7a,EGR3
hsa-let-7a,HNRNPDL
hsa-let-7a,AMMECR1
hsa-let-7a,CASP3
hsa-let-7a,CASP8
hsa-let-7a,CASP9
hsa-let-7a,IL6
hsa-let-7a,E2F2
hsa-let-7a,CCND2
hsa-let-7a,TMED7
hsa-let-7a,CDKN1A
hsa-let-7a,HAS2
hsa-let-7a,EGFR
hsa-let-7a,RIOK3
hsa-let-7a,ZC3H18
hsa-let-7a,FAM105B
hsa-let-7a,TMEM39A
hsa-let-7a,UPP2
hsa-let-7a,SYNPR
hsa-let-7a,ATP6V1B2
hsa-let-7a,MEPCE
hsa-let-7a,PSMA2
hsa-let-7a,NDUFAF3
hsa-let-7a,GP5
hsa-let-7a,GPN1
hsa-let-7a,CIRH1A
hsa-let-7a,ZNF555
hsa-let-7a,UBE3C
hsa-let-7a,LHFPL2
hsa-let-7a,MRPL15
hsa-let-7a,HIST2H2BF
hsa-let-7a,CEP170B
hsa-let-7a,SMPDL3B
hsa-let-7a,HIST2H2BE
hsa-let-7a,CDC7
hsa-let-7a,SMARCAD1
hsa-let-7a,COX2
hsa-let-7a,BCAT1
hsa-let-7a,RRM2
hsa-let-7a,FNDC3A
hsa-let-7a,ZCCHC9
hsa-let-7a,CD276
hsa-let-7a,PHF6
hsa-let-7a,FAM13C
hsa-let-7a,NOLC1
hsa-let-7a,ACVR1B
hsa-let-7a,PTP4A1
hsa-let-7a,BAZ2A
hsa-let-7a,UBAP2
hsa-let-7a,RPL9
hsa-let-7a,TRIM5
hsa-let-7a,DNAJC6
hsa-let-7a,GLUL
hsa-let-7a,HIST1H4D
hsa-let-7a,FOXJ3
hsa-let-7a,PHTF2
hsa-let-7a,ACTB
hsa-let-7a,NID2
hsa-let-7a,ANO6
hsa-let-7a,CS
hsa-let-7a,BTBD1
hsa-let-7a,NCBP1
hsa-let-7a,LMNA
hsa-let-7a,RBMXL1
hsa-let-7a,JAZF1
hsa-let-7a,RPS3A
hsa-let-7a,ZNF629
hsa-let-7a,SIK1
hsa-let-7a,HIST1H1D
hsa-let-7a,SESN2
hsa-let-7a,EIF3C
hsa-let-7a,GPM6B
hsa-let-7a,RPL30
hsa-let-7a,ARL6IP6
hsa-let-7a,FBXW2
hsa-let-7a,POU3F2
hsa-let-7a,TTC22
hsa-let-7a,LRRC37A2
hsa-let-7a,GCN1L1
hsa-let-7a,IVD
hsa-let-7a,RQCD1
hsa-let-7a,KIAA2026
hsa-let-7a,COX1
hsa-let-7a,NAA35
hsa-let-7a,SHMT2
hsa-let-7a,ATP6
hsa-let-7a,GTF2I
hsa-let-7a,KRTAP19-1
hsa-let-7a,RPL4
hsa-let-7a,TMEM165
hsa-let-7a,GTF3C5
hsa-let-7a,KIAA1147
hsa-let-7a,C9orf37
hsa-let-7a,C11orf57
hsa-let-7a,EEF2
hsa-let-7a,ZNF609
hsa-let-7a,TMEM64
hsa-let-7a,EXPH5
hsa-let-7a,AKAP17A
hsa-let-7a,ATG4C
hsa-let-7a,ORAI2
hsa-let-7a,WWP2
hsa-let-7a,RPS15A
hsa-let-7a,RPS10
hsa-let-7a,AGO1
hsa-let-7a,AOC2
hsa-let-7a,SP1
hsa-let-7a,ND5
hsa-let-7a,CAMK2D
hsa-let-7a,CD2AP
hsa-let-7a,H1F0
hsa-let-7a,VAV2
hsa-let-7a,RPSA
hsa-let-7a,NEU3
hsa-let-7a,UBAP2L
hsa-let-7a,GORASP2
hsa-let-7a,ANKRD17
hsa-let-7a,IPO7
hsa-let-7a,CFL2
hsa-let-7a,ZMYM3
hsa-let-7a,RBM6
hsa-let-7a,TAF9B
hsa-let-7a,SKA3
hsa-let-7a,DDX18
hsa-let-7a,FARSA
hsa-let-7a,BNIP3L
hsa-let-7a,VGLL4
hsa-let-7a,BUD13
hsa-let-7a,HNRNPUL1
hsa-let-7a,NUDT4
hsa-let-7a,SNRPC
hsa-let-7a,SPATS2
hsa-let-7a,REPS1
hsa-let-7a,TRAF7
hsa-let-7a,CD55
hsa-let-7a,PNRC1
hsa-let-7a,SETD7
hsa-let-7a,ERN1
hsa-let-7a,NDUFS2
hsa-let-7a,MRS2
hsa-let-7a,TARS
hsa-let-7a,HUWE1
hsa-let-7a,PAXBP1
hsa-let-7a,LIX1L
hsa-let-7a,RAD21
hsa-let-7a,ND1
hsa-let-7a,ZNF644
hsa-let-7a,SAMD4B
hsa-let-7a,ASPM
hsa-let-7a,ZNF746
hsa-let-7a,ND2
hsa-let-7a,RPS4X
hsa-let-7a,NPC1
hsa-let-7a,ITM2B
hsa-let-7a,RPS13
hsa-let-7a,C1GALT1
hsa-let-7a,CARHSP1
hsa-let-7a,CNTRL
hsa-let-7a,PIK3R1
hsa-let-7a,ARID3B
