miRNAs,Gene
hsa-let-7a,DICER1
hsa-let-7a,ATP8A2
hsa-let-7a,DDX20
hsa-let-7a,EIF2C2
hsa-let-7a,STMN1
hsa-let-7a,GEMIN4
hsa-let-7a,RNPC3
hsa-let-7a,CSAD
hsa-let-7a,LIN28
hsa-let-7a,ECD
hsa-let-7a,TREH
hsa-let-7a,PDCD6
hsa-let-7a,COX8A
hsa-let-7a,ME1
hsa-let-7a,RRBP1
hsa-let-7a,TAF1C
hsa-let-7a,RNASEN
hsa-let-7a,DGCR8
hsa-let-7a,KRAS
hsa-let-7a,NRAS
hsa-let-7a,FBXW7
hsa-let-7a,SHH
hsa-let-7a,PI3
hsa-let-7a,PIK3CA
hsa-let-7a,DDX6
hsa-let-7a,EIF2C1
hsa-let-7a,LSM1
hsa-let-7a,SCPEP1
hsa-let-7a,BCL2
hsa-let-7a,TNRC6A
hsa-let-7a,LIN28B
hsa-let-7a,TNRC6B
hsa-let-7a,FMR1
hsa-let-7a,MOV10
hsa-let-7a,ZNF362
hsa-let-7a,IL6
hsa-let-7a,NF2
hsa-let-7a,SOAT1
hsa-let-7a,STAT3
hsa-let-7a,HMGA2
hsa-let-7a,NFKB1
hsa-let-7a,DNMT1
hsa-let-7a,DNMT3B
hsa-let-7a,EIF4E
hsa-let-7a,TP53
hsa-let-7a,FAS
hsa-let-7a,TCF19
hsa-let-7a,TWIST1
hsa-let-7a,CCND1
hsa-let-7a,CCNG1
hsa-let-7a,TLR4
hsa-let-7a,CDK6
hsa-let-7a,CDC25A
hsa-let-7a,POLD3
hsa-let-7a,EGFR
hsa-let-7a,APOBEC3G
hsa-let-7a,MYC
hsa-let-7a,CYP27B1
hsa-let-7a,FOXA1
hsa-let-7a,VDR
hsa-let-7a,NR1I2
hsa-let-7a,E2F1
hsa-let-7a,E2F3
hsa-let-7a,SCAP
hsa-let-7a,NOL3
hsa-let-7a,TNF
hsa-let-7a,FXR1
hsa-let-7a,KIT
hsa-let-7a,TRAT1
hsa-let-7a,TRIM17
hsa-let-7a,ATN1
hsa-let-7a,ERBB2
hsa-let-7a,AKT1
hsa-let-7a,BIRC3
hsa-let-7a,PTEN
hsa-let-7a,SYNE1
hsa-let-7a,FLT3
hsa-let-7a,HOXA10
hsa-let-7a,MEIS1
hsa-let-7a,NPM1
hsa-let-7a,CEBPA
hsa-let-7a,CCNA2
hsa-let-7a,IGF2BP1
hsa-let-7a,HOXA9
hsa-let-7a,IRAK2
hsa-let-7a,JAK2
hsa-let-7a,PRDM1
hsa-let-7a,NPAT
hsa-let-7a,TUT1
hsa-let-7a,ITGB3
hsa-let-7a,RABEPK
hsa-let-7a,EXOSC1
hsa-let-7a,IL1B
hsa-let-7a,TRAF6
hsa-let-7a,CDKN1A
hsa-let-7a,PAK3
hsa-let-7a,CYCS
hsa-let-7a,EIF3A
hsa-let-7a,CDKN2A
hsa-let-7a,CDKN2D
