"miRNAs","Gene"
"hsa-let-7a-5p","DICER1"
"hsa-let-7a-5p","ATP8A2"
"hsa-let-7a-5p","DDX20"
"hsa-let-7a-5p","EIF2C2"
"hsa-let-7a-5p","STMN1"
"hsa-let-7a-5p","GEMIN4"
"hsa-let-7a-5p","RNPC3"
"hsa-let-7a-5p","CSAD"
"hsa-let-7a-5p","LIN28"
"hsa-let-7a-5p","ECD"
"hsa-let-7a-5p","TREH"
"hsa-let-7a-5p","PDCD6"
"hsa-let-7a-5p","COX8A"
"hsa-let-7a-5p","ME1"
"hsa-let-7a-5p","RRBP1"
"hsa-let-7a-5p","TAF1C"
"hsa-let-7a-5p","RNASEN"
"hsa-let-7a-5p","DGCR8"
"hsa-let-7a-5p","KRAS"
"hsa-let-7a-5p","NRAS"
"hsa-let-7a-5p","FBXW7"
"hsa-let-7a-5p","SHH"
"hsa-let-7a-5p","PI3"
"hsa-let-7a-5p","PIK3CA"
"hsa-let-7a-5p","DDX6"
"hsa-let-7a-5p","EIF2C1"
"hsa-let-7a-5p","LSM1"
"hsa-let-7a-5p","SCPEP1"
"hsa-let-7a-5p","BCL2"
"hsa-let-7a-5p","TNRC6A"
"hsa-let-7a-5p","LIN28B"
"hsa-let-7a-5p","TNRC6B"
"hsa-let-7a-5p","FMR1"
"hsa-let-7a-5p","MOV10"
"hsa-let-7a-5p","ZNF362"
"hsa-let-7a-5p","IL6"
"hsa-let-7a-5p","NF2"
"hsa-let-7a-5p","SOAT1"
"hsa-let-7a-5p","STAT3"
"hsa-let-7a-5p","HMGA2"
"hsa-let-7a-5p","NFKB1"
"hsa-let-7a-5p","DNMT1"
"hsa-let-7a-5p","DNMT3B"
"hsa-let-7a-5p","EIF4E"
"hsa-let-7a-5p","TP53"
"hsa-let-7a-5p","FAS"
"hsa-let-7a-5p","TCF19"
"hsa-let-7a-5p","TWIST1"
"hsa-let-7a-5p","CCND1"
"hsa-let-7a-5p","CCNG1"
"hsa-let-7a-5p","TLR4"
"hsa-let-7a-5p","CDK6"
"hsa-let-7a-5p","CDC25A"
"hsa-let-7a-5p","POLD3"
"hsa-let-7a-5p","EGFR"
"hsa-let-7a-5p","APOBEC3G"
"hsa-let-7a-5p","MYC"
"hsa-let-7a-5p","CYP27B1"
"hsa-let-7a-5p","FOXA1"
"hsa-let-7a-5p","VDR"
"hsa-let-7a-5p","NR1I2"
"hsa-let-7a-5p","E2F1"
"hsa-let-7a-5p","E2F3"
"hsa-let-7a-5p","SCAP"
"hsa-let-7a-5p","NOL3"
"hsa-let-7a-5p","TNF"
"hsa-let-7a-5p","FXR1"
"hsa-let-7a-5p","KIT"
"hsa-let-7a-5p","TRAT1"
"hsa-let-7a-5p","TRIM17"
"hsa-let-7a-5p","ATN1"
"hsa-let-7a-5p","ERBB2"
"hsa-let-7a-5p","AKT1"
"hsa-let-7a-5p","BIRC3"
"hsa-let-7a-5p","PTEN"
"hsa-let-7a-5p","SYNE1"
"hsa-let-7a-5p","FLT3"
"hsa-let-7a-5p","HOXA10"
"hsa-let-7a-5p","MEIS1"
"hsa-let-7a-5p","NPM1"
"hsa-let-7a-5p","CEBPA"
"hsa-let-7a-5p","CCNA2"
"hsa-let-7a-5p","IGF2BP1"
"hsa-let-7a-5p","HOXA9"
"hsa-let-7a-5p","IRAK2"
"hsa-let-7a-5p","JAK2"
"hsa-let-7a-5p","PRDM1"
"hsa-let-7a-5p","NPAT"
"hsa-let-7a-5p","TUT1"
"hsa-let-7a-5p","ITGB3"
"hsa-let-7a-5p","RABEPK"
"hsa-let-7a-5p","EXOSC1"
"hsa-let-7a-5p","IL1B"
"hsa-let-7a-5p","TRAF6"
"hsa-let-7a-5p","CDKN1A"
"hsa-let-7a-5p","PAK3"
"hsa-let-7a-5p","CYCS"
"hsa-let-7a-5p","EIF3A"
"hsa-let-7a-5p","CDKN2A"
"hsa-let-7a-5p","CDKN2D"
"hsa-let-7a-5p","KITLG"
"hsa-let-7a-5p","SKP1"
"hsa-let-7a-5p","WEE1"
"hsa-let-7a-5p","CDC34"
"hsa-let-7a-5p","PEBP1"
"hsa-let-7a-5p","HMGA1"
"hsa-let-7a-5p","HRSP12"
"hsa-let-7a-5p","TRIM32"
"hsa-let-7a-5p","RDX"
"hsa-let-7a-5p","COL1A1"
"hsa-let-7a-5p","COL4A2"
"hsa-let-7a-5p","DUSP2"
"hsa-let-7a-5p","COL5A3"
"hsa-let-7a-5p","CTNNBIP1"
"hsa-let-7a-5p","TGFB3"
"hsa-let-7a-5p","ACVR2A"
"hsa-let-7a-5p","HDAC4"
"hsa-let-7a-5p","BASP1"
"hsa-let-7a-5p","PDHA2"
"hsa-let-7a-5p","TM9SF3"
"hsa-let-7a-5p","RTN4"
"hsa-let-7a-5p","NCAPG"
"hsa-let-7a-5p","WFS1"
"hsa-let-7a-5p","DERL1"
"hsa-let-7a-5p","WIBG"
"hsa-let-7a-5p","PLOD3"
"hsa-let-7a-5p","ASAHL"
"hsa-let-7a-5p","ILF2"
"hsa-let-7a-5p","ILF3"
"hsa-let-7a-5p","LAMP3"
"hsa-let-7a-5p","HAND2"
"hsa-let-7a-5p","DCN"
"hsa-let-7a-5p","AMACR"
"hsa-let-7a-5p","DYRK2"
"hsa-let-7a-5p","CBS"
"hsa-let-7a-5p","APC"
"hsa-let-7a-5p","SLC27A4"
"hsa-let-7a-5p","IGF1"
"hsa-let-7a-5p","SOX2"
"hsa-let-7a-5p","E2F2"
"hsa-let-7a-5p","ESR1"
"hsa-let-7a-5p","ESR2"
"hsa-let-7a-5p","NCOA3"
"hsa-let-7a-5p","SF4"
"hsa-let-7a-5p","PGC"
"hsa-let-7a-5p","CISH"
"hsa-let-7a-5p","NFKBIA"
"hsa-let-7a-5p","SRC"
"hsa-let-7a-5p","RAB27A"
"hsa-let-7a-5p","NCBP1"
"hsa-let-7a-5p","ARS2"
"hsa-let-7a-5p","ZEB1"
"hsa-let-7a-5p","ZCCHC11"
"hsa-let-7a-5p","CHAF1A"
"hsa-let-7a-5p","CCR4"
"hsa-let-7a-5p","TMEM132D"
"hsa-let-7a-5p","EPHB2"
"hsa-let-7a-5p","TARBP2"
"hsa-let-7a-5p","UHRF2"
"hsa-let-7a-5p","TNRC6C"
"hsa-let-7a-5p","TGFBR1"
"hsa-let-7a-5p","PRTN3"
"hsa-let-7a-5p","NRIP1"
"hsa-let-7a-5p","EIF2C4"
"hsa-let-7a-5p","RET"
"hsa-let-7a-5p","NKX2-1"
"hsa-let-7a-5p","NCOA4"
"hsa-let-7a-5p","MYCN"
"hsa-let-7a-5p","CLEC5A"
"hsa-let-7a-5p","SLC7A1"
"hsa-let-7a-5p","PAH"
"hsa-let-7a-5p","RBPJL"
"hsa-let-7a-5p","CD46"
"hsa-let-7a-5p","LARP4"
"hsa-let-7a-5p","CNN3"
"hsa-let-7a-5p","ELK3"
"hsa-let-7a-5p","ATP6V1B2"
"hsa-let-7a-5p","HNF4A"
"hsa-let-7a-5p","BRCA1"
"hsa-let-7a-5p","BRAF"
"hsa-let-7a-5p","MBL2"
"hsa-let-7a-5p","GLI1"
"hsa-let-7a-5p","SMOX"
"hsa-let-7a-5p","SMO"
"hsa-let-7a-5p","TP63"
"hsa-let-7a-5p","MCL1"
"hsa-let-7a-5p","BCL2L1"
"hsa-let-7a-5p","NKIRAS2"
"hsa-let-7a-5p","BACE1"
"hsa-let-7a-5p","CCND2"
"hsa-let-7a-5p","CEBPZ"
"hsa-let-7a-5p","XPO1"
"hsa-let-7a-5p","HK1"
"hsa-let-7a-5p","NPC1"
"hsa-let-7a-5p","IL8RA"
"hsa-let-7a-5p","CKAP4"
"hsa-let-7a-5p","RBBP6"
"hsa-let-7a-5p","TP73"
"hsa-let-7a-5p","SOCS4"
"hsa-let-7a-5p","UBE2I"
"hsa-let-7a-5p","SPRY2"
"hsa-let-7a-5p","MEST"
"hsa-let-7a-5p","IL13"
"hsa-let-7a-5p","ZNF167"
"hsa-let-7a-5p","ZNF512B"
"hsa-let-7a-5p","TGFB1"
"hsa-let-7a-5p","HNRNPA1"
"hsa-let-7a-5p","KHSRP"
"hsa-let-7a-5p","BRCA2"
"hsa-let-7a-5p","OPRM1"
"hsa-let-7a-5p","LRRK2"
"hsa-let-7a-5p","CYLD"
"hsa-let-7a-5p","CEBPB"
"hsa-let-7a-5p","DDIT3"
"hsa-let-7a-5p","HMOX1"
"hsa-let-7a-5p","ROS1"
"hsa-let-7a-5p","RPE"
"hsa-let-7a-5p","SRM"
"hsa-let-7a-5p","IL17A"
"hsa-let-7a-5p","PAX7"
"hsa-let-7a-5p","BCL6"
"hsa-let-7a-5p","CDKN1B"
"hsa-let-7a-5p","CDKN1C"
"hsa-let-7a-5p","CXCL12"
"hsa-let-7a-5p","ALDH1A1"
"hsa-let-7a-5p","ERBB3"
"hsa-let-7a-5p","C17orf91"
"hsa-let-7a-5p","RUNX1"
"hsa-let-7a-5p","CDC25C"
"hsa-let-7a-5p","MMP14"
"hsa-let-7a-5p","MAPK3"
"hsa-let-7a-5p","CYP7A1"
"hsa-let-7a-5p","IFNG"
"hsa-let-7a-5p","NOS2A"
"hsa-let-7a-5p","POLR2A"
"hsa-let-7a-5p","PGRMC1"
"hsa-let-7a-5p","IL2RA"
"hsa-let-7a-5p","FOXP3"
"hsa-let-7a-5p","SELL"
"hsa-let-7a-5p","CD4"
"hsa-let-7a-5p","CD69"
"hsa-let-7a-5p","FASN"
"hsa-let-7a-5p","PPP2R1B"
"hsa-let-7a-5p","CYFIP2"
"hsa-let-7a-5p","SNAI2"
"hsa-let-7a-5p","ZEB2"
"hsa-let-7a-5p","PSD4"
"hsa-let-7a-5p","MMP8"
"hsa-let-7a-5p","RBL2"
"hsa-let-7a-5p","RAD51L3"
"hsa-let-7a-5p","RAB40C"
"hsa-let-7a-5p","RASSF1"
"hsa-let-7a-5p","GPI"
"hsa-let-7a-5p","TIMP3"
"hsa-let-7a-5p","SOCS1"
"hsa-let-7a-5p","RORA"
"hsa-let-7a-5p","EIF4G1"
"hsa-let-7a-5p","CNTN3"
"hsa-let-7a-5p","CYB5R3"
"hsa-let-7a-5p","XRN1"
"hsa-let-7a-5p","BBS9"
"hsa-let-7a-5p","NES"
"hsa-let-7a-5p","PDXP"
"hsa-let-7a-5p","SLC25A10"
"hsa-let-7a-5p","COPS8"
"hsa-let-7a-5p","CSN1S1"
"hsa-let-7a-5p","IFNA1"
"hsa-let-7a-5p","IFNA2"
"hsa-let-7a-5p","STAT1"
"hsa-let-7a-5p","EGR1"
"hsa-let-7a-5p","IFI44"
"hsa-let-7a-5p","FN1"
"hsa-let-7a-5p","GRB2"
"hsa-let-7a-5p","GAB2"
"hsa-let-7a-5p","EPHA2"
"hsa-let-7a-5p","JARID1B"
"hsa-let-7a-5p","UHRF1BP1"
"hsa-let-7a-5p","SLC7A5"
"hsa-let-7a-5p","LIF"
"hsa-let-7a-5p","CHEK1"
"hsa-let-7a-5p","SYCP3"
"hsa-let-7a-5p","DDX4"
"hsa-let-7a-5p","AIRE"
"hsa-let-7a-5p","IL10"
"hsa-let-7a-5p","ARC"
"hsa-let-7a-5p","CLU"
"hsa-let-7a-5p","ELF4"
"hsa-let-7a-5p","CCL7"
"hsa-let-7a-5p","SOCS3"
"hsa-let-7a-5p","PPARGC1A"
"hsa-let-7a-5p","AKT2"
"hsa-let-7a-5p","FOXP1"
"hsa-let-7a-5p","ELSPBP1"
"hsa-let-7a-5p","TBX5"
"hsa-let-7a-5p","HAND1"
"hsa-let-7a-5p","ZCCHC6"
"hsa-let-7a-5p","LYPLA3"
"hsa-let-7a-5p","MET"
"hsa-let-7a-5p","KLF4"
"hsa-let-7a-5p","IGF1R"
"hsa-let-7a-5p","MSTN"
"hsa-let-7a-5p","GHR"
"hsa-let-7a-5p","RAB40B"
"hsa-let-7a-5p","CGA"
"hsa-let-7a-5p","KISS1R"
"hsa-let-7a-5p","CXCR4"
"hsa-let-7a-5p","PROM1"
"hsa-let-7a-5p","NFYC"
"hsa-let-7b-5p","DICER1"
"hsa-let-7b-5p","ATP8A2"
"hsa-let-7b-5p","CSAD"
"hsa-let-7b-5p","LIN28"
"hsa-let-7b-5p","ECD"
"hsa-let-7b-5p","TREH"
"hsa-let-7b-5p","DDX20"
"hsa-let-7b-5p","EIF2C2"
"hsa-let-7b-5p","GEMIN4"
"hsa-let-7b-5p","PDCD6"
"hsa-let-7b-5p","MAPK14"
"hsa-let-7b-5p","RPIA"
"hsa-let-7b-5p","FBXW11"
"hsa-let-7b-5p","TMEM184B"
"hsa-let-7b-5p","GPD1"
"hsa-let-7b-5p","TMOD3"
"hsa-let-7b-5p","LAMC2"
"hsa-let-7b-5p","TPPP3"
"hsa-let-7b-5p","STK3"
"hsa-let-7b-5p","KLF5"
"hsa-let-7b-5p","ACTG1"
"hsa-let-7b-5p","VEGFA"
"hsa-let-7b-5p","PARP8"
"hsa-let-7b-5p","C6orf134"
"hsa-let-7b-5p","SMC1A"
"hsa-let-7b-5p","STK24"
"hsa-let-7b-5p","CCNT2"
"hsa-let-7b-5p","KIAA0152"
"hsa-let-7b-5p","DMTF1"
"hsa-let-7b-5p","COX8A"
"hsa-let-7b-5p","TAF1C"
"hsa-let-7b-5p","RNASEN"
"hsa-let-7b-5p","DGCR8"
"hsa-let-7b-5p","KRAS"
"hsa-let-7b-5p","NRAS"
"hsa-let-7b-5p","MTPN"
"hsa-let-7b-5p","JAK2"
"hsa-let-7b-5p","C1QBP"
"hsa-let-7b-5p","USP1"
"hsa-let-7b-5p","ADIPOR2"
"hsa-let-7b-5p","FBXW7"
"hsa-let-7b-5p","SHH"
"hsa-let-7b-5p","PI3"
"hsa-let-7b-5p","PIK3CA"
"hsa-let-7b-5p","DDX6"
"hsa-let-7b-5p","EIF2C1"
"hsa-let-7b-5p","LSM1"
"hsa-let-7b-5p","SCPEP1"
"hsa-let-7b-5p","BCL2"
"hsa-let-7b-5p","TNRC6A"
"hsa-let-7b-5p","LIN28B"
"hsa-let-7b-5p","TNRC6B"
"hsa-let-7b-5p","FMR1"
"hsa-let-7b-5p","MOV10"
"hsa-let-7b-5p","ZNF362"
"hsa-let-7b-5p","HMGA2"
"hsa-let-7b-5p","NFKB1"
"hsa-let-7b-5p","DNMT1"
"hsa-let-7b-5p","DNMT3B"
"hsa-let-7b-5p","EIF4E"
"hsa-let-7b-5p","FAS"
"hsa-let-7b-5p","TCF19"
"hsa-let-7b-5p","TWIST1"
"hsa-let-7b-5p","CCND1"
"hsa-let-7b-5p","CCNG1"
"hsa-let-7b-5p","CDK6"
"hsa-let-7b-5p","CDC25A"
"hsa-let-7b-5p","POLD3"
"hsa-let-7b-5p","EGFR"
"hsa-let-7b-5p","MYC"
"hsa-let-7b-5p","CYP27B1"
"hsa-let-7b-5p","FOXA1"
"hsa-let-7b-5p","VDR"
"hsa-let-7b-5p","NR1I2"
"hsa-let-7b-5p","E2F1"
"hsa-let-7b-5p","E2F3"
"hsa-let-7b-5p","NOL3"
"hsa-let-7b-5p","BCL7A"
"hsa-let-7b-5p","TNF"
"hsa-let-7b-5p","FXR1"
"hsa-let-7b-5p","KIT"
"hsa-let-7b-5p","TRAT1"
"hsa-let-7b-5p","TRIM17"
"hsa-let-7b-5p","ATN1"
"hsa-let-7b-5p","AKT1"
"hsa-let-7b-5p","BIRC3"
"hsa-let-7b-5p","PTEN"
"hsa-let-7b-5p","SYNE1"
"hsa-let-7b-5p","FLT3"
"hsa-let-7b-5p","HOXA10"
"hsa-let-7b-5p","MEIS1"
"hsa-let-7b-5p","NPM1"
"hsa-let-7b-5p","CEBPA"
"hsa-let-7b-5p","CCNA2"
"hsa-let-7b-5p","IGF2BP1"
"hsa-let-7b-5p","NPAT"
"hsa-let-7b-5p","TUT1"
"hsa-let-7b-5p","CHAF1A"
"hsa-let-7b-5p","ABCF2"
"hsa-let-7b-5p","PPIF"
"hsa-let-7b-5p","SLC25A13"
"hsa-let-7b-5p","RCAN2"
"hsa-let-7b-5p","WDR68"
"hsa-let-7b-5p","CALCOCO2"
"hsa-let-7b-5p","AKAP8"
"hsa-let-7b-5p","OPRS1"
"hsa-let-7b-5p","BET1"
"hsa-let-7b-5p","CDIPT"
"hsa-let-7b-5p","C1D"
"hsa-let-7b-5p","SEC23A"
"hsa-let-7b-5p","VTI1B"
"hsa-let-7b-5p","CEBPB"
"hsa-let-7b-5p","ANP32B"
"hsa-let-7b-5p","HBXIP"
"hsa-let-7b-5p","RPP38"
"hsa-let-7b-5p","SPTLC1"
"hsa-let-7b-5p","PDLIM5"
"hsa-let-7b-5p","GNA13"
"hsa-let-7b-5p","CTSC"
"hsa-let-7b-5p","MTHFD2"
"hsa-let-7b-5p","SEC24A"
"hsa-let-7b-5p","PGRMC1"
"hsa-let-7b-5p","EHMT2"
"hsa-let-7b-5p","PRSS21"
"hsa-let-7b-5p","TOMM34"
"hsa-let-7b-5p","TMED2"
"hsa-let-7b-5p","MLLT11"
"hsa-let-7b-5p","TMED10"
"hsa-let-7b-5p","FERMT2"
"hsa-let-7b-5p","CHD1"
"hsa-let-7b-5p","DNAJB4"
"hsa-let-7b-5p","PWP1"
"hsa-let-7b-5p","SEC23IP"
"hsa-let-7b-5p","KLK8"
"hsa-let-7b-5p","PRAF2"
"hsa-let-7b-5p","DUSP12"
"hsa-let-7b-5p","LYPLA2"
"hsa-let-7b-5p","FMNL2"
"hsa-let-7b-5p","PTPMT1"
"hsa-let-7b-5p","THEM4"
"hsa-let-7b-5p","GALNTL2"
"hsa-let-7b-5p","CLN5"
"hsa-let-7b-5p","MSI2"
"hsa-let-7b-5p","IQGAP3"
"hsa-let-7b-5p","DNAJC19"
"hsa-let-7b-5p","GRPEL2"
"hsa-let-7b-5p","CPOX"
"hsa-let-7b-5p","PTRH1"
"hsa-let-7b-5p","KDELC2"
"hsa-let-7b-5p","CPNE8"
"hsa-let-7b-5p","CSNK1D"
"hsa-let-7b-5p","CSRP1"
"hsa-let-7b-5p","CTNNB1"
"hsa-let-7b-5p","RDH10"
"hsa-let-7b-5p","MOSPD2"
"hsa-let-7b-5p","ADSS"
"hsa-let-7b-5p","CYP51A1"
"hsa-let-7b-5p","AP2A1"
"hsa-let-7b-5p","ZNF384"
"hsa-let-7b-5p","DSG2"
"hsa-let-7b-5p","DSP"
"hsa-let-7b-5p","DSPP"
"hsa-let-7b-5p","PHC2"
"hsa-let-7b-5p","ARID2"
"hsa-let-7b-5p","PTPLB"
"hsa-let-7b-5p","F2"
"hsa-let-7b-5p","ARL5B"
"hsa-let-7b-5p","FGF2"
"hsa-let-7b-5p","FGF13"
"hsa-let-7b-5p","FNDC3A"
"hsa-let-7b-5p","TRIM32"
"hsa-let-7b-5p","PLXND1"
"hsa-let-7b-5p","RCOR1"
"hsa-let-7b-5p","SYNE2"
"hsa-let-7b-5p","VPS39"
"hsa-let-7b-5p","KIAA0776"
"hsa-let-7b-5p","KIAA0409"
"hsa-let-7b-5p","TMED3"
"hsa-let-7b-5p","HARS2"
"hsa-let-7b-5p","TRAM1"
"hsa-let-7b-5p","CARHSP1"
"hsa-let-7b-5p","CORO1C"
"hsa-let-7b-5p","ARFIP2"
"hsa-let-7b-5p","POLA2"
"hsa-let-7b-5p","SLC7A11"
"hsa-let-7b-5p","TMEM2"
"hsa-let-7b-5p","SH3BP4"
"hsa-let-7b-5p","PISD"
"hsa-let-7b-5p","IFIT5"
"hsa-let-7b-5p","NAT6"
"hsa-let-7b-5p","FRG1"
"hsa-let-7b-5p","LYCAT"
"hsa-let-7b-5p","ELMOD2"
"hsa-let-7b-5p","GAK"
"hsa-let-7b-5p","TXN2"
